constructorId,url,name,nationality
arzani-volpini,http://en.wikipedia.org/wiki/Arzani-Volpini,Arzani-Volpini,Italian
connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British
cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British
epperly,http://en.wikipedia.org/wiki/Epperly,Epperly,American
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
gordini,http://en.wikipedia.org/wiki/Gordini,Gordini,French
hwm,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,HWM,British
kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American
lancia,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,Lancia,Italian
maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
pankratz,http://en.wikipedia.org/wiki/Pankratz,Pankratz,American
pawl,http://en.wikipedia.org/wiki/Pawl_(constructor),Pawl,American
phillips,http://en.wikipedia.org/wiki/Phillips_(constructor),Phillips,American
schroeder,http://en.wikipedia.org/wiki/Schroeder_(constructor),Schroeder,American
stevens,http://en.wikipedia.org/wiki/Stevens_(constructor),Stevens,American
trevis,http://en.wikipedia.org/wiki/Trevis,Trevis,American
vanwall,http://en.wikipedia.org/wiki/Vanwall,Vanwall,British
