constructorId,url,name,nationality
arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French
sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
stewart,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,Stewart,British
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
