constructorId,url,name,nationality
benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
footwork,http://en.wikipedia.org/wiki/Footwork_Arrows,Footwork,British
forti,http://en.wikipedia.org/wiki/Forti,Forti,Italian
jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
pacific,http://en.wikipedia.org/wiki/Pacific_Racing,Pacific,British
sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
simtek,http://en.wikipedia.org/wiki/Simtek,Simtek,British
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
