position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,170,10,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2000,17
2,2,162,7,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2000,17
3,3,36,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2000,17
4,4,20,0,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian,2000,17
5,5,20,0,bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British,2000,17
6,6,17,0,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish,2000,17
7,7,7,0,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British,2000,17
8,8,6,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2000,17
9,9,4,0,jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British,2000,17
,-,0,0,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian,2000,17
,-,0,0,prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French,2000,17
